normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
77263,Henri Matisse,1869,USD,1,0,0,0,2014-07-05 00:00:00,1,pencil,paper,0,0,0.0866,0,4,0,65,new york,20,French,M,fauvism,1,�,�,Wednesday,5,0,0,75594.8,11.255,11.2331
148522,Pablo Picasso,1881,EUR,1,0,0,0,2015-03-25 00:00:00,1,ink,paper,0,0,0.0747,5,3,3,5033,paris,20,Spaniard,M,cubism,1,migrant,�,Wednesday,3,0,0,151494,11.9085,11.9283
112575,Gustav Klimt,1862,GBP,0,0,0,0,2001-11-10 00:00:00,1,pencil,paper,0,0,0.1883,0,1,1,1343,london,19,Austrian,M,modern,1,�,�,Thursday,10,0,0,74748.6,11.6314,11.2219
240274,Camille Pissarro,1830,USD,1,1,0,0,2012-02-05 00:00:00,1,oil,canvas,0,0,0.1495,3,2,1,0,new york,19,French,M,impressionism,1,�,�,Wednesday,5,0,0,167028,12.3895,12.0259
13664.7,Pierre-Auguste Renoir,1841,EUR,0,0,0,0,2019-03-29 00:00:00,0,oil,toile,0,0,0.005,0,4,0,381,paris,19,French,M,impressionism,1,�,�,Friday,3,0,0,23408,9.52257,10.0608
361866,Pierre-Auguste Renoir,1841,USD,0,0,0,0,1999-05-13 00:00:00,0,pastel,board,0,0,0.2696,1,2,0,1684,new york,19,French,M,impressionism,1,�,�,Thursday,5,0,0,460437,12.799,13.0399
433483,Marc Chagall,1887,USD,1,0,0,0,2016-11-17 00:00:00,1,ink,paper,0,0,0.327,0,2,0,650,new york,20,Jew,M,modernism,1,migrant,�,Thursday,11,0,0,266302,12.9796,12.4924
540373,Rene Magritte,1898,GBP,1,0,0,0,2005-07-02 00:00:00,1,gouache,paper,0,0,0.2284,3,2,1,1937,london,20,Belgian,M,surrealism,1,�,�,Monday,2,0,0,304978,13.2,12.628
271921,Henry Moore,1898,USD,1,0,0,0,2000-09-05 00:00:00,1,ink,paper,0,0,0.2303,4,6,3,70,new york,20,English,M,organic abstraction,1,sculptor,�,Tuesday,5,0,0,222698,12.5133,12.3136
1.27806e+06,Gustave Caillebotte,1848,GBP,0,0,0,0,2005-07-02 00:00:00,1,oil,canvas,0,0,0.3513,2,5,2,1987,london,19,French,M,impressionism,1,philatelist,�,Monday,2,0,0,1.18603e+06,14.0609,13.9861
